Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
95444,,Direct Sales,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,273,2023-10-07 13:00:00,163.22,185.0,44559.06,50505.0,5945.94,13.34,11.77,0,0
91530,521562753,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,2,2023-08-25 13:06:00,163.22,183.3,326.44,366.6,40.16,12.3,10.95,0,0
95024,523889745,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,2,2023-10-06 09:06:00,163.22,187.06,326.44,374.12,47.68,14.61,12.74,0,0
94578,523721934,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-10-02 19:59:00,170.0,169.2,170.0,169.2,-0.8,0.0,0.47,0,0
94538,523702086,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,1,2023-10-02 12:43:00,163.22,267.9,163.22,267.9,104.68,64.13,39.07,0,0
92457,el8mf16e3ow,SeatGeek,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-09-06 21:01:00,163.22,177.6,163.22,177.6,14.38,8.81,8.1,0,0
86664,519165385,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,1,2023-07-12 19:31:00,163.22,206.8,163.22,206.8,43.58,26.7,21.07,0,0
84028,517618434,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,2,2023-06-10 20:00:00,163.22,211.5,326.44,423.0,96.56,29.58,22.83,0,0
94848,523857402,VGG,"Austin City Limits Festival - Weekend One - Sunday Only (Mumford & Sons, Odesza, Hozier and more)",Zilker Park,2023-10-08 12:00:00,General Admission,Sunday,0,0,2,2023-10-05 15:48:00,163.22,173.9,326.44,347.8,21.36,6.54,6.14,0,0
91171,521287457,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,4,2023-08-19 18:13:00,163.22,258.5,652.88,1034.0,381.12,58.38,36.86,0,0
94999,523881836,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,2,2023-10-06 03:22:00,163.22,197.4,326.44,394.8,68.36,20.94,17.32,0,0
94551,523707699,VGG,"Austin City Limits Festival - Weekend Two - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-13 13:00:00,General Admission,Friday,0,0,1,2023-10-02 14:43:00,170.0,173.9,170.0,173.9,3.9,2.29,2.24,0,0
87280,519531540,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,2,2023-07-19 13:09:00,163.22,206.8,326.44,413.6,87.16,26.7,21.07,0,0
90987,521172677,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,5,2023-08-17 23:00:00,163.22,262.26,816.1,1311.3,495.2,60.68,37.76,0,0
